Section,Question,Answer,Answer (Simple with Example),Code Snippet
Algorithms,Describe how SVM separates classes.,"SVM finds the hyperplane that best separates classes with the maximum margin, possibly in a higher-dimensional space using kernel trick.","Draws a line (or hyperplane) between classes with maximum gap.
Think of separating apples and oranges by size and color.","from sklearn.svm import SVC
model = SVC(kernel='linear').fit(X, y)"
Algorithms,What is the difference between PCA and LDA?,"PCA: Unsupervised, reduces dimensionality by variance. LDA: Supervised, reduces dimensions by maximizing class separability.","PCA: Like compressing an image keeping most info.
LDA: Compress but also separate categories clearly (e.g., spam vs not).","from sklearn.decomposition import PCA
pca = PCA(n_components=2).fit_transform(X)

from sklearn.discriminant_analysis import LinearDiscriminantAnalysis
lda = LinearDiscriminantAnalysis(n_components=1).fit(X, y)"
Python & Libraries,How do you handle missing data in pandas?,"Use df.fillna(), df.dropna(), or df.interpolate().","Use df.dropna() to remove, df.fillna() to fill missing values.
E.g., df.fillna(df.mean()) fills with average.","df.dropna()
df.fillna(df.mean())"
Python & Libraries,What’s the use of NumPy in data science?,"NumPy provides fast numerical operations on arrays, used for mathematical computation and feeding data into ML models.","NumPy = fast math on arrays.
E.g., calculating average temperature from a large sensor dataset.","import numpy as np
arr = np.array([1, 2, 3])
mean_val = np.mean(arr)"
Python & Libraries,Explain how train_test_split() and cross_val_score() work in sklearn.,train_test_split() splits data into train/test sets. cross_val_score() evaluates a model using cross-validation for better generalization estimates.,"train_test_split(): Break data into training/testing sets.
cross_val_score(): Run multiple train/test cycles to test stability.","from sklearn.model_selection import train_test_split, cross_val_score
X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.2)
scores = cross_val_score(model, X, y, cv=5)"
Projects & Real-World Scenarios,Describe a project where you used ML for prediction.,"E.g., predicting employee attrition using logistic regression. Used pandas for EDA, sklearn for modeling, and matplotlib for visualization.","Predicting loan default: Cleaned data with pandas, modeled with logistic regression, presented accuracy.","# Project pipeline example
from sklearn.linear_model import LogisticRegression
model = LogisticRegression().fit(X_train, y_train)"
Projects & Real-World Scenarios,How do you choose the right model for your problem?,"By testing different algorithms, analyzing the data size/type, and evaluating using metrics like accuracy, RMSE, or AUC.","Test models (e.g., decision tree vs logistic), use metrics (accuracy for balance, AUC for imbalance), and business goal.","# Model comparison using cross-validation
from sklearn.model_selection import cross_val_score
cross_val_score(RandomForestClassifier(), X, y, cv=5)"
Projects & Real-World Scenarios,How do you explain model predictions to a non-technical stakeholder?,"Use visual tools (charts), analogies, and focus on how predictions affect business outcomes, not the math behind them.","Use a chart: ‘This model helps us identify 80% of at-risk customers.’ No math, just value and impact.","# SHAP for explainability
import shap
explainer = shap.Explainer(model, X)
shap_values = explainer(X)
shap.plots.beeswarm(shap_values)"
Deep Learning,What is a neural network?,A neural network is a series of layers mimicking the brain's neurons to learn patterns and make predictions.,"Neural network = brain-inspired math model.
E.g., learns if an image is a cat or dog from examples.","# Simple neural network
from keras.models import Sequential
from keras.layers import Dense
model = Sequential([Dense(32, input_shape=(10,), activation='relu'), Dense(1, activation='sigmoid')])"
Deep Learning,How do CNNs work in image classification?,"CNNs use convolutional layers to capture spatial features, pooling to reduce dimensionality, and fully connected layers for classification.","CNN sees image like human eyes: finds edges → shapes → objects.
E.g., detecting number in a handwritten digit.","# CNN for image classification
from keras.models import Sequential
from keras.layers import Conv2D, MaxPooling2D, Flatten, Dense
model = Sequential([
  Conv2D(32, (3,3), activation='relu', input_shape=(28,28,1)),
  MaxPooling2D(2,2),
  Flatten(),
  Dense(10, activation='softmax')
])"
Deep Learning,What is backpropagation and why is it important?,Backpropagation updates weights in a neural network by computing gradients via the chain rule to minimize error (loss function).,It adjusts weights by comparing error in output and correcting step-by-step. Like improving your aim after each dart throw.,"# Backprop handled automatically in training
model.compile(optimizer='adam', loss='binary_crossentropy')
model.fit(X_train, y_train, epochs=10)"
